,created_at,text,retweets,likes,replies,quotes
0,2025-04-08 14:09:05+00:00,@MarioNawfal *Peter Retarrdo,631,5983,1053,421
1,2025-04-08 14:07:21+00:00,@WallStreetMav Those who financed the attacks against Tesla will go to prison,446,3923,479,54
2,2025-04-08 14:06:20+00:00,💯 https://t.co/Ex378cBqY3,4929,43245,2477,131
3,2025-04-08 14:04:25+00:00,@MarioNawfal 🔥🔥,100,1168,122,6
4,2025-04-08 13:59:45+00:00,"@mrp @RealPNavarro @JoeSquawk @SquawkCNBC @IfindRetards By any definition whatsoever, Tesla is the most vertically integrated auto manufacturer in America with the highest percentage of US content.

Navarro should ask the fake expert he invented, Ron Vara.",632,6358,385,116
5,2025-04-08 13:52:40+00:00,"@mrp @RealPNavarro @JoeSquawk @SquawkCNBC Tesla has the most American-made cars. Navarro is dumber than a sack of bricks. 
@IfindRetards @RealPNavarro 

https://t.co/gECgtZt5Sc",938,7459,580,346
6,2025-04-08 13:47:47+00:00,@mrp @RealPNavarro @JoeSquawk @SquawkCNBC Navarro is truly a moron. What he says here is demonstrably false.,1111,9052,964,720
7,2025-04-08 13:44:16+00:00,@nataliegwinters 💯,116,1631,102,6
8,2025-04-08 06:01:27+00:00,Don’t Panic https://t.co/gwF3MElmoh,8304,70073,5615,553
9,2025-04-08 05:59:47+00:00,RT @GuntherEagleman: Thank you DOGE. https://t.co/KjpO9kJwKx,2462,0,0,0
10,2025-04-08 05:58:07+00:00,💯 https://t.co/rsK1fmrHzq,22496,110464,5249,475
11,2025-04-08 05:52:24+00:00,https://t.co/17A9JHT7yy,25161,320128,10243,1674
12,2025-04-08 05:52:01+00:00,"Chuck, I’m starting to think you’re getting a piece of the action with the government fraud. But no, that couldn’t possibly be the reason, could it? 🤔 … https://t.co/VWQeFqMnii",24911,133499,8553,1109
13,2025-04-08 05:47:16+00:00,Good question 🤔 https://t.co/CXCgkxsEQs,8069,53206,3520,228
14,2025-04-08 05:46:41+00:00,@BLKMDL3 @Tesla_AI @aelluswamy Cool,38,627,67,6
15,2025-04-08 05:35:37+00:00,"RT @DOGE__news: Elon Musk: ""I'm just here trying to make government more efficient, eliminate waste and fraud and so far we are making good…",7309,0,0,0
16,2025-04-08 05:35:25+00:00,"RT @iam_smx: Even Elon Musk's Employee is a GOAT. 🐐

This engineer chose to work at SpaceX over established companies like Boeing and Lockh…",3051,0,0,0
17,2025-04-08 05:34:52+00:00,"Welcome to 𝕏, the group chat of Earth",14388,177337,9343,1021
18,2025-04-08 05:33:52+00:00,@SenSchumer The intern running Schumer’s social media account is lying,291,2659,137,12
19,2025-04-08 05:31:49+00:00,@ChrisJBakke You can do it!,40,756,62,6
