,created_at,text,retweets,likes,replies,quotes
0,2025-04-07 13:15:10+00:00,"we have shipped a lot of stuff recently, but people really love this in particular: https://t.co/0J94UHD9IN",169,2440,301,7
1,2025-04-05 17:22:50+00:00,"i am really loving spending more with research and product

this is the most fun i've had since the early days when openai was just a quiet little research lab",301,8913,688,43
2,2025-04-05 17:21:03+00:00,"just went through the list of what we are planning to launch in the next few months.

so much incredible stuff!",466,12599,1051,124
3,2025-04-05 17:19:03+00:00,"RT @eliza_luth: been asked about this so many times, stay tuned",104,0,0,0
4,2025-04-05 03:45:43+00:00,"RT @alexblania: it's been too long.

https://t.co/NIkM785gbV https://t.co/gCg5d2DJFY",149,0,0,0
5,2025-04-04 15:28:38+00:00,@stalkermustang coming!,30,1793,52,23
6,2025-04-04 15:24:26+00:00,RT @ren_hongyu: o3-mini-high helps accelerate scientific discovery 💙 https://t.co/RwOnDJ96Pb,144,0,0,0
7,2025-04-04 14:40:27+00:00,we were able to really improve on what we previewed for o3 in many ways; i think people will be happy...,173,6228,199,26
8,2025-04-04 14:39:47+00:00,"change of plans: we are going to release o3 and o4-mini after all, probably in a couple of weeks, and then do GPT-5 in a few months.

there are a bunch of reasons for this, but the most exciting one is that we are going to be able to make GPT-5 much better than we originally",2559,30747,1769,1027
9,2025-04-04 14:21:28+00:00,"there are some books coming out about openai and me. we only participated in two—one by keach hagey focused on me, and one by ashlee vance on openai (the only author we’ve allowed behind-the-scenes and in meetings).

no book will get everything right, especially when some people",422,9092,609,87
10,2025-04-03 23:05:55+00:00,"chatgpt has gotten way, way faster on the web!

lots of hard work from the team to make this happen.",542,16881,978,100
11,2025-04-03 18:29:16+00:00,chatgpt plus is free for college students in the US and canada through may!,1442,33403,2314,808
12,2025-04-02 21:18:58+00:00,@sachin_rt want to play?,65,3109,156,37
13,2025-04-02 20:30:24+00:00,prompt: sam altman as a cricket player in anime style https://t.co/kgflS6dT6o,1246,33536,1811,621
14,2025-04-02 15:13:41+00:00,"what's happening with ai adoption in india right now is amazing to watch.

we love to see the explosion of creativity--india is outpacing the world.",2708,36261,2367,1190
15,2025-04-02 00:11:06+00:00,https://t.co/HgkjDL9vvT,656,25630,1293,157
16,2025-04-01 23:05:40+00:00,"lol i feel like a YC founder in ""build in public"" mode again",221,8236,419,44
17,2025-04-01 23:04:40+00:00,y'all are not ready for images v2...,1196,34090,2744,605
18,2025-04-01 19:36:56+00:00,whatever. https://t.co/dmPwgHKogF,316,6570,584,39
19,2025-04-01 18:47:19+00:00,"ok that one didn't work but

-restart-0331-final-final2-restart-forreal-omfg3-YOLO

is gonna hit, i know it",183,3336,269,20
20,2025-04-01 17:06:04+00:00,"when the run name ends like this you know it's surely going to work this time

-restart-0331-final-final2-restart-forreal-omfg3",369,8539,584,74
21,2025-04-01 17:05:28+00:00,"@khoomeik want me to unfollow you?

but seriously i hope you would never let that slow your roll",50,5884,139,12
22,2025-04-01 15:50:19+00:00,working as fast we can to really get stuff humming; if anyone has GPU capacity in 100k chunks we can get asap please call!,182,2820,454,128
23,2025-04-01 15:50:19+00:00,"we are getting things under control, but you should expect new releases from openai to be delayed, stuff to break, and for service to sometimes be slow as we deal with capacity challenges.",406,10200,723,181
24,2025-04-01 00:33:31+00:00,chatgpt image gen now rolled out to all free users!,2794,49711,2234,978
25,2025-03-31 23:06:17+00:00,"we will not do anything silly like saying that you cant use our open model if your service has more than 700 million monthly active users.

we want everyone to use it!",610,17887,979,206
26,2025-03-31 20:49:28+00:00,"RT @IndiaPostOffice: ChatGPT delivered the best🫶

#Ghibli #IndiaPost https://t.co/bhSTJffUkV",776,0,0,0
27,2025-03-31 20:48:11+00:00,🇮🇳 https://t.co/dFtIsE32rC,1577,32209,422,102
28,2025-03-31 20:06:28+00:00,"RT @JoHeidecke: Safety is a core focus of our open-weight model’s development, from pre-training to release. While open models bring unique…",94,0,0,0
29,2025-03-31 19:45:20+00:00,"@DavidSacks yeah, i just didn’t think it would be this toy :)",17,1688,70,4
